15,-45,35,15,-42,34,31, Limbic Lobe, Cingulate Gyrus
45,-65,25,45,-62,26,39, Temporal Lobe, Middle Temporal Gyrus
-20,-50,35,-20,-47,35,31, Limbic Lobe, Sub-Gyral
40,-60,30,40,-57,30,39, Temporal Lobe, Superior Temporal Gyrus
5,-50,30,5,-47,30,31, Parietal Lobe, Precuneus
5,-70,30,5,-66,31,7, Occipital Lobe, Cuneus
10,-55,15,10,-53,16,23, Limbic Lobe, Posterior Cingulate
-5,-95,5,-5,-92,9,18, Occipital Lobe, Cuneus
-20,-45,35,-20,-42,34,31, Parietal Lobe, Precuneus
-5,-90,5,-5,-87,9,17, Occipital Lobe, Cuneus
50,-65,20,50,-62,22,39, Temporal Lobe, Middle Temporal Gyrus
-15,-100,15,-15,-96,19,18, Occipital Lobe, Cuneus
-10,-100,10,-10,-96,14,18, Occipital Lobe, Middle Occipital Gyrus
25,-95,15,25,-91,18,18, Occipital Lobe, Middle Occipital Gyrus
0,-55,25,0,-52,26,31, Limbic Lobe, Cingulate Gyrus
-15,-75,15,-15,-72,17,18, Occipital Lobe, Cuneus
-15,-80,10,-15,-77,13,17, Occipital Lobe, Cuneus
-20,-95,25,-20,-91,28,19, Occipital Lobe, Cuneus
5,-45,30,5,-42,30,31, Limbic Lobe, Cingulate Gyrus
30,-90,20,30,-86,23,19, Occipital Lobe, Cuneus
-20,-95,15,-20,-91,18,18, Occipital Lobe, Cuneus
0,-50,25,0,-47,25,23, Limbic Lobe, Posterior Cingulate
-5,-60,15,-5,-57,17,23, Limbic Lobe, Posterior Cingulate
40,-45,20,40,-43,21,13, Sub-lobar, Insula
-10,-95,0,-10,-92,5,17, Occipital Lobe, Cuneus
-15,-95,0,-15,-92,5,17, Occipital Lobe, Cuneus
40,-80,25,40,-76,27,19, Occipital Lobe, Superior Occipital Gyrus
50,-70,20,50,-67,22,39, Temporal Lobe, Middle Temporal Gyrus
5,-100,10,5,-96,14,18, Occipital Lobe, Cuneus
5,-95,10,5,-92,14,18, Occipital Lobe, Cuneus
25,-90,15,25,-87,18,18, Occipital Lobe, Middle Occipital Gyrus
-15,-100,5,-15,-97,9,18, Occipital Lobe, Cuneus
-10,-100,0,-10,-97,5,17, Occipital Lobe, Cuneus
-15,-50,40,-15,-47,39,7, Parietal Lobe, Precuneus
-15,-100,0,-15,-97,5,18, Occipital Lobe, Cuneus
-15,-100,10,-15,-96,14,18, Occipital Lobe, Middle Occipital Gyrus
40,-45,35,40,-42,34,40, Parietal Lobe, Supramarginal Gyrus
-15,-85,5,-15,-82,9,17, Occipital Lobe, Cuneus
35,-85,35,35,-81,36,19, Parietal Lobe, Precuneus
35,-80,35,35,-76,36,19, Parietal Lobe, Precuneus
50,-65,25,50,-62,26,39, Temporal Lobe, Middle Temporal Gyrus
5,-55,15,5,-53,16,23, Limbic Lobe, Posterior Cingulate
5,-65,30,5,-62,31,7, Parietal Lobe, Precuneus
20,-85,35,20,-81,36,19, Parietal Lobe, Precuneus
-5,-100,5,-5,-97,9,18, Occipital Lobe, Cuneus
45,-65,15,45,-62,17,39, Temporal Lobe, Middle Temporal Gyrus
-20,-90,20,-20,-86,23,18, Occipital Lobe, Cuneus
40,-80,30,40,-76,31,39, Temporal Lobe, Angular Gyrus
-15,-50,35,-15,-47,35,31, Parietal Lobe, Precuneus
25,-75,15,25,-72,17,31, Occipital Lobe, Precuneus
-20,-90,15,-20,-87,18,18, Occipital Lobe, Cuneus
0,-50,20,0,-48,21,30, Limbic Lobe, Posterior Cingulate
5,-90,10,5,-87,14,18, Occipital Lobe, Cuneus
25,-80,15,25,-77,18,18, Occipital Lobe, Cuneus
5,-45,20,5,-43,21,30, Limbic Lobe, Posterior Cingulate
50,-65,-5,50,-63,-1,19, Temporal Lobe, Inferior Temporal Gyrus
45,-65,-5,45,-63,-1,37, Occipital Lobe, Middle Temporal Gyrus
55,-65,20,54,-62,22,39, Temporal Lobe, Middle Temporal Gyrus
20,-80,35,20,-76,36,7, Parietal Lobe, Precuneus
-15,-90,0,-15,-87,4,17, Occipital Lobe, Lingual Gyrus
-10,-100,-5,-10,-97,1,17, Occipital Lobe, Cuneus
5,-55,30,5,-52,30,31, Parietal Lobe, Precuneus
45,-55,20,45,-52,21,39, Temporal Lobe, Superior Temporal Gyrus
10,-80,35,10,-76,36,19, Occipital Lobe, Cuneus
35,-40,20,35,-38,20,13, Sub-lobar, Insula
-10,-90,0,-10,-87,4,17, Occipital Lobe, Lingual Gyrus
45,-75,25,45,-72,27,39, Temporal Lobe, Middle Temporal Gyrus
40,-85,25,40,-81,27,19, Occipital Lobe, Superior Occipital Gyrus
0,-100,5,0,-97,9,18, Occipital Lobe, Cuneus
-15,-90,25,-15,-86,27,19, Occipital Lobe, Cuneus
0,-45,25,0,-42,25,31, Limbic Lobe, Cingulate Gyrus
